X,Y,Z                    Magnitude
-2.18E-20,2.98E-06,0.0589234481173542       0.2904872025195067
5.78E-20,0.005175027785,0.08973086202933853      0.28483566695046253
-2.99E-19,0.004255753891,0.06919258608801564      0.24699535393967154
3.41E-20,0.008508757629,0.07946172405867706      0.24928125250063424
3.74E-19,0.01276193072,0.08973086202933854      0.2079298782846238
0,0.005634519791,0.09999999999999998      0.23329391181284798
0,0.01414213562,0.1                      0.28494201564888166
4.34E-19,0.01896785312,0.1                      1.5655746256079617
1.43E-19,0.003335097694,0.04866035342188564      0.803307068056687
1.80E-19,0.003332594288,0.04865431014669275      0.803654801642268
-1.83E-19,0.006668247965,0.0589277597146136       0.794685895257256
9.32E-21,0.006666508832,0.058923448117354185     0.794639629573217
8.39E-20,0.01000128847,0.06919550410646369      0.3822324915805684
3.31E-19,0.01000013634,0.06919258608801564      0.3822745966807006
-6.68E-20,0.01333424848,0.07946349638643774      0.9761626558134855
4.89E-20,0.01333356088,0.0794617240586771       0.9759986815056478
4.23E-19,0.01666714774,0.08973167581556132      2.6370917005660317
2.44E-19,0.01666683661,0.08973086202933858      2.6369504162575317
0,0.02,0.09999999999999999      4.415399941962841
2.64E-19,0.003335097694,0.04865426228021674      1.2062508905657057
-2.84E-20,0.003332594288,0.048647377177865395     1.2073687974832252
6.01E-19,0.006668247965,0.058923413966838076     1.2698006152573087
-4.83E-20,0.006666508832,0.058918574630420315     1.2696506333593178
8.51E-20,0.01000128847,0.06919256297550536      0.7745679538445982
3.32E-19,0.01000013634,0.06918932643503477      0.774688694675767
1.81E-19,0.01333424848,0.0794617100207454       1.6545779709370791
8.05E-20,0.01333356088,0.07945976311896845      1.6544353593488075
2.07E-19,0.01666714774,0.08973085558364853      4.184753029763129
3.86E-19,0.01666683661,0.08972996876940953      4.184538668735067
-4.81E-20,0.006666508832,0.04857297222471094      1.4955558830593838
2.64E-19,0.003335097694,0.0383098775292424       3.5694973443736666
3.32E-19,0.01000013634,0.058842110195372395     1.888072721545353
6.02E-19,0.006668247965,0.048577283821970366     1.4956222457867667
6.01E-19,0.006668247965,0.048572938074194855     1.4952508596913678
3.32E-19,0.01000013634,0.048491634302729146     1.8532451998827888
6.01E-19,0.006668247965,0.03822680792932711      5.576568498020383
8.07E-20,0.01333356088,0.06911124816603384      2.095697078235641
8.51E-20,0.01000128847,0.058845028213820455     1.8879346858113764
8.47E-20,0.01000128847,0.05884208708286212      1.8881274422720713
8.06E-20,0.01333356088,0.0587607722733906       1.7239980100583496
8.49E-20,0.01000128847,0.048494552321177206     1.8535774258883584
8.53E-20,0.01000128847,0.048491611190218865     1.853699433160298
8.07E-20,0.01333356088,0.048410296380747356     3.4623573328637662
8.51E-20,0.01000128847,0.038144076428533964     8.40398169139828
3.86E-19,0.01666683661,0.0793803861366953       1.5352098757223303
1.81E-19,0.01333424848,0.06911302049379447      2.0958362907631463
1.81E-19,0.01333424848,0.06911123412810218      2.095891785945304
3.86E-19,0.01666683661,0.06902991024405206      2.9462145171734653
1.81E-19,0.01333424848,0.05876254460115123      1.724057928751834
1.81E-19,0.01333424848,0.058760758235458926     1.7239421730708475
3.86E-19,0.01666683661,0.05867943435140881      1.5506289119858652
1.81E-19,0.01333424848,0.048412068708508        3.462249473827263
1.81E-19,0.01333424848,0.04841028234281569      3.4628362305381364
3.86E-19,0.01666683661,0.048328958458765565     6.110227785084217
1.81E-19,0.01333424848,0.03806159281586475      11.904709616909185
4.83E-22,0.02,0.08964952410735677      0.7373996366510057
2.07E-19,0.01666714774,0.07938119992291805      1.5354159609677691
7.44E-23,0.02,0.07929904821471351      3.400164895457433
2.07E-19,0.01666714774,0.0690307240302748       2.946176856295017
2.07E-19,0.01666714774,0.07938037969100527      1.5351900087910944
0,0.02,0.06894857232207026      3.459283996348053
2.07E-19,0.01666714774,0.05868024813763154      1.5507332851927913
2.07E-19,0.01666714774,0.06902990379836202      2.9462708545721146
3.72E-22,0.02,0.05859809642942702      3.0132627665925393
2.07E-19,0.01666714774,0.04832977224498831      6.110032570187137
2.07E-19,0.01666714774,0.05867942790571877      1.550694929704125
5.58E-22,0.02,0.04824762053678379      9.466780807671743
2.07E-19,0.01666714774,0.037979296352345066     15.963685904699334
2.07E-19,0.01666714774,0.048328952013075535     6.110512909963465
-4.81E-20,0.006666508832,0.048568098737777086     1.4965767196897344
3.31E-19,0.01000013634,0.058838850542391526     1.8877941527338487
3.32E-19,0.01000013634,0.048488374649748284     1.8550210625675614
8.04E-20,0.01333356088,0.06910928722632521      2.095825594715602
8.09E-20,0.01333356088,0.05875881133368197      1.724079355944567
8.07E-20,0.01333356088,0.04840833544103873      3.463828569241285
3.86E-19,0.01666683661,0.07937949287676627      1.535237625708063
3.86E-19,0.01666683661,0.06902901698412303      2.946156634338037
3.86E-19,0.01666683661,0.05867854109147978      1.5509223156602465
3.86E-19,0.01666683661,0.048328065198836534     6.111041660781047
